5,MTZ static,MTZ static (mod),MTZ + LAZY,MTZ + LAZY + SEC,GG
burma14,0.1140,0.1886,0.3239,0.0901,0.1904
ulysses16,0.9227,1.2343,1.2298,0.8564,0.2143
ulysses22,432.3872,40.6499,141.2446,139.7508,1.0661
att48,435.2932,600.0000,600.0000,201.6561,11.6703
eil51,3.8003,3.6585,1.5838,0.9681,18.8703
berlin52,4.4133,3.2891,1.5624,1.3358,3.4076
st70,600.0000,600.0000,600.0000,275.8849,53.0052
eil76,9.2582,14.1463,14.3701,5.1109,128.6376
pr76,600.0000,600.0000,600.0000,600.0000,600.0000
gr96,600.0000,600.0000,600.0000,600.0000,319.1029
rat99,178.0316,116.8701,150.5019,4.6098,319.9741
kroA100,600.0000,600.0000,600.0000,600.0000,528.6661
kroB100,600.0000,600.0000,600.0000,600.0000,600.0000
kroC100,600.0000,600.0000,600.0000,600.0000,197.9493
kroD100,600.0000,600.0000,600.0000,600.0000,386.1917
kroE100,600.0000,600.0000,600.0000,600.0000,600.0000
rd100,349.6020,600.0000,600.0000,221.9749,471.8952
eli101,38.4912,392.3722,96.4139,34.1618,273.3362
lin105,600.0000,600.0000,600.0000,600.0000,355.3831
