8,MTZ,MTZ Modified,MTZ + Lazy,MTZ + Lazy + Sec,GG,GG + Lazy,GG + Lazy + Sec,GG Original
att48,36262.380506,75175.766565,479231.042374,14310.252047,4858.932533,6758.133246,4048.231663,4945.356236
att48,85170.043545,62385.975147,157755.646841,22468.151025,7873.119040,7018.134333,3574.504837,6671.407607
att48,80379.044126,70097.667850,255217.644189,18292.072794,5671.044229,6759.670987,3661.030811,4637.415777
att48,95614.414104,55919.166710,623873.278850,18072.410919,6084.763030,7044.441696,3532.464134,5403.205562
att48,66412.929673,88322.220110,317099.242316,16818.979136,6244.029734,8380.734105,3930.092973,8832.656446
berlin52,995.591869,1767.710141,830.683111,252.302974,2991.005516,6054.961333,6045.382270,3731.322965
berlin52,1156.065937,1466.312143,1039.538889,391.183701,4414.585450,5552.070159,2441.202838,4193.360024
berlin52,778.584809,1503.146902,1049.906754,363.459078,5132.440253,6097.843043,2866.257228,10153.193540
berlin52,848.069446,1141.697580,1135.462531,342.058826,4321.489178,5860.910087,5427.977077,2468.476448
berlin52,1045.360132,1424.373120,989.644052,265.964754,2411.899674,5279.227988,3289.059277,2406.895418
burma14,54.315073,42.803762,18.168270,14.781138,101.263900,31.997959,50.958204,110.858069
burma14,31.696981,46.026077,18.813120,16.136354,124.808288,33.802277,50.950501,110.530369
burma14,67.706490,41.655707,18.305713,17.407547,123.292142,34.586762,53.368280,121.260756
burma14,37.818451,36.156962,18.576251,14.297671,111.911008,33.203831,52.120405,114.300862
burma14,31.921907,38.057627,24.902462,15.749646,124.942195,25.005397,51.160370,125.310867
eil101,27870.386348,21656.058174,112387.319152,4492.417608,78760.936733,789795.242737,123177.667184,107353.059946
eil101,17386.940280,17662.443298,26191.966619,5372.534653,85518.959173,762333.818721,59104.395733,63815.903682
eil101,24822.406246,18445.673047,143168.705526,2471.848297,91664.641167,1020019.029687,82707.219921,87987.652802
eil101,11885.938420,9398.373973,39361.767318,3713.919674,90890.221090,1015271.041435,80725.491561,95665.009890
eil101,9922.210647,18613.990990,1020224.052145,4574.690046,100179.250566,1020019.041715,65193.262939,84707.567348
eil51,1154.034514,2368.122236,1079.033916,463.651011,10654.276707,8827.548555,2385.335131,8877.027348
eil51,1661.912151,1781.426078,974.209995,286.439002,8010.047519,11629.872143,2704.118402,11537.616934
eil51,1397.271801,1809.982677,1210.002164,317.429160,9276.873564,8294.445704,2444.248819,9796.696686
eil51,1341.224002,2310.705165,1284.097027,382.257240,11232.371222,9225.300142,3997.212066,12548.144026
eil51,2460.228416,1364.292502,1084.842360,373.322711,9033.582130,9273.475972,2500.070311,8565.336544
eil76,4773.452908,3565.001419,3016.285454,1045.267385,36151.063000,107991.364685,9493.534423,39052.214403
eil76,3837.428765,2709.538426,6836.444981,1061.119890,36489.372061,235044.831249,8781.148763,38037.039136
eil76,4996.261681,3737.403034,4880.378677,1511.389500,47889.085340,74019.060032,10909.971351,76407.973273
eil76,3775.476862,6152.095729,9653.641725,1141.580979,29329.612535,164207.938674,7759.717661,56243.953909
eil76,2860.843748,5130.481074,7180.109559,1469.639197,39034.082952,173421.115912,11414.989762,65132.521771
