4,MTZ,MTZ Modified,MTZ + Lazy,MTZ + Lazy + Sec
att48,36262.380506,75175.766565,479231.042374,14310.252047
att48,85170.043545,62385.975147,157755.646841,22468.151025
att48,80379.044126,70097.667850,255217.644189,18292.072794
att48,95614.414104,55919.166710,623873.278850,18072.410919
att48,66412.929673,88322.220110,317099.242316,16818.979136
berlin52,995.591869,1767.710141,830.683111,252.302974
berlin52,1156.065937,1466.312143,1039.538889,391.183701
berlin52,778.584809,1503.146902,1049.906754,363.459078
berlin52,848.069446,1141.697580,1135.462531,342.058826
berlin52,1045.360132,1424.373120,989.644052,265.964754
burma14,54.315073,42.803762,18.168270,14.781138
burma14,31.696981,46.026077,18.813120,16.136354
burma14,67.706490,41.655707,18.305713,17.407547
burma14,37.818451,36.156962,18.576251,14.297671
burma14,31.921907,38.057627,24.902462,15.749646
eil101,27870.386348,21656.058174,112387.319152,4492.417608
eil101,17386.940280,17662.443298,26191.966619,5372.534653
eil101,24822.406246,18445.673047,143168.705526,2471.848297
eil101,11885.938420,9398.373973,39361.767318,3713.919674
eil101,9922.210647,18613.990990,1020224.052145,4574.690046
eil51,1154.034514,2368.122236,1079.033916,463.651011
eil51,1661.912151,1781.426078,974.209995,286.439002
eil51,1397.271801,1809.982677,1210.002164,317.429160
eil51,1341.224002,2310.705165,1284.097027,382.257240
eil51,2460.228416,1364.292502,1084.842360,373.322711
eil76,4773.452908,3565.001419,3016.285454,1045.267385
eil76,3837.428765,2709.538426,6836.444981,1061.119890
eil76,4996.261681,3737.403034,4880.378677,1511.389500
eil76,3775.476862,6152.095729,9653.641725,1141.580979
eil76,2860.843748,5130.481074,7180.109559,1469.639197
gr96,168243.321103,191169.842102,1021104.647318,259179.745815
gr96,349796.816980,256861.721067,710483.047533,1020078.921599
gr96,176988.796552,636889.527940,528954.704549,1020279.546596
gr96,371235.080131,313583.150522,1020634.300163,1020815.088462
gr96,507058.700636,272472.773104,1021413.110492,191470.029930
kroA100,376235.045589,250871.435454,1020446.840632,1020013.294076
kroA100,512326.758189,397026.735823,1020804.895736,460671.324843
kroA100,1020138.094105,716757.644654,727125.284855,1020530.121979
kroA100,435658.664004,1020016.604060,1020547.436390,370740.673895
kroA100,322887.290915,429685.399504,779061.179402,1020182.913379
kroB100,1021138.170120,1020278.410499,1021122.457896,1020497.593779
kroB100,1022740.989253,1020134.516229,1020643.519003,1020397.859692
kroB100,1022021.405983,1021522.437896,1021522.437896,1020358.229799
kroB100,1020284.772885,1020147.288297,1020322.435178,1020208.013229
kroB100,1020745.821367,1020901.804965,1020237.411314,1021633.150588
kroC100,1020012.227001,1020045.600238,1020803.654189,912943.363943
kroC100,1020865.345901,1020093.102955,1021094.018999,1020052.308629
kroC100,1020256.794471,1020019.545044,1021356.102757,1020291.043783
kroC100,1020068.527779,1020241.470166,1021356.102757,1020086.941180
kroC100,1020342.860097,1020406.256158,1020942.963243,1020213.705420
kroD100,1020672.289763,1020164.425392,1020808.781325,1020653.532952
kroD100,1021178.641209,1020931.489050,1020532.536153,1020666.863044
kroD100,1021420.422424,1022472.857874,1020767.085638,1020622.936384
kroD100,1020939.832897,1021266.164931,1020327.336759,1021529.090132
kroD100,1021375.204558,1020236.214432,1020413.613531,1020776.662447
kroE100,388015.016299,408209.852930,1021027.981596,1020756.908781
kroE100,296932.513178,530983.844838,1021095.462852,399870.487039
kroE100,258457.209665,319860.818950,1021435.754867,528227.199409
kroE100,354878.635248,1020014.186181,664091.569939,232235.715366
kroE100,354977.505473,307409.321522,1020789.957506,313824.448990
lin105,1020024.882020,1021151.050202,1020431.561619,89580.166543
lin105,1020052.322468,1020363.314092,1020954.931485,165013.530088
lin105,1020102.011717,1020028.393821,1020853.675831,1020020.182825
lin105,1021041.519595,1020040.566554,1020572.918471,144789.414222
lin105,1021016.220961,1021506.546208,1020583.303929,622504.576394
pr107,1021858.249616,1021767.209348,1021767.209348,1021497.751801
pr107,1021549.534307,1021565.730801,1021565.730801,1021547.213664
pr107,1021364.865708,1021142.938890,1021142.938890,1021693.482011
pr107,1021349.050544,1021262.087041,1021262.087041,1020703.197782
pr107,1022000.971758,1020327.238753,1020327.238753,1021392.781092
pr76,163568.844144,207394.240883,129796.181099,418246.099958
pr76,113184.540096,194089.141754,145097.470681,1023854.818790
pr76,132615.236082,205651.089751,631199.490228,718724.341261
pr76,138834.276051,182535.159742,314953.365118,119580.039848
pr76,112082.128730,149374.938361,556490.501945,173462.480833
rat99,15513.844601,25170.598228,19759.027278,3724.149598
rat99,25497.751605,19191.300254,25276.282238,3653.831918
rat99,14192.757971,46515.181560,32371.937967,3424.435016
rat99,24759.017165,17163.566454,15694.478819,3613.373208
rat99,22338.074548,21146.526165,9720.902708,3806.048329
rd100,93138.564497,111104.663829,160703.721495,123890.383155
rd100,115239.585035,147882.150502,1020955.113277,106719.266533
rd100,98470.124022,176110.439706,314752.147318,86270.857276
rd100,126303.440907,179075.518101,1020229.216785,200491.644694
rd100,31978.867339,113646.947475,193178.104483,87062.387161
st70,979799.717401,541124.644046,1021666.466624,17423.376200
st70,1020009.307438,377706.925035,1021456.596387,43632.797250
st70,1020152.862635,367635.378945,722654.217355,58993.773911
st70,195010.947267,892091.172371,1022321.425943,51280.433354
st70,245063.603966,1020013.311619,102141.421415,39918.480042
ulysses16,481.940446,481.364134,279.824821,437.834851
ulysses16,418.623566,608.690151,230.559692,388.130910
