att48, 3, MTZL, 10653.000000, 416883.570780
pr76, 2, MTZL, 108159.000000, 361533.204020
pr76, 3, MTZL, 108159.000000, 218235.455247
pr76, 4, MTZL, 108159.000000, 485903.011127
rat99, 2, MTZL, 1211.000000, 22940.353242
rat99, 3, MTZL, 1211.000000, 15832.673549
rat99, 4, MTZL, 1211.000000, 8553.047507
rat99, 5, MTZL, 1211.000000, 20266.197810
rd100, 1, MTZL, 7910.000000, 234651.430298
rd100, 2, MTZL, 7910.000000, 295322.095097
rd100, 3, MTZL, 7910.000000, 328080.991257
rd100, 5, MTZL, 7910.000000, 127953.109261
st70, 1, MTZL, 675.000000, 1020081.369082
ulysses16, 1, MTZL, 6859.000000, 267.254101
ulysses16, 2, MTZL, 6859.000000, 195.129757
ulysses16, 3, MTZL, 6859.000000, 268.832125
ulysses16, 4, MTZL, 6859.000000, 276.055826
ulysses16, 5, MTZL, 6859.000000, 232.669219
ulysses22, 1, MTZL, 7013.000000, 13771.121039
ulysses22, 2, MTZL, 7013.000000, 15267.358784
ulysses22, 3, MTZL, 7013.000000, 17812.287808
ulysses22, 4, MTZL, 7013.000000, 17589.944718
ulysses22, 5, MTZL, 7013.000000, 23589.927282
