8,NN,NN + GRASP,NN + 2OPT,NN + GRASP + 2OPT,NN (random starting point),NN (random starting point) + GRASP,NN (random starting point) + 2OPT,NN (random starting point) + GRASP + 2OPT
a280,2975,4824,2687,2803,3229,5383,2723,2910
ali535,240828,384969,219888,223286,250303,418658,216860,221696
att532,33387,51163,29116,30520,33734,54744,29328,29506
d1291,58680,114393,53140,57421,62095,118043,52806,56941
d1655,73357,127362,65335,70290,76184,139479,65533,70888
d2103,86501,170858,81971,92791,89845,180809,82789,94122
d493,40186,61474,37016,37249,46917,65593,36446,37900
d657,60175,93802,51042,54425,63098,101982,52110,54319
fl1400,25115,38489,21164,21772,26523,42577,20941,21171
fl1577,25534,52037,22904,23943,27981,58926,23005,24773
fl417,13887,23185,12366,12818,14507,25168,12433,12454
gil262,2823,4324,2558,2564,3112,4780,2541,2557
gr202,47060,65901,42365,43935,50016,73373,42954,44160
gr229,157394,236281,138713,139889,162760,260858,139288,147732
gr431,207189,304003,178489,188459,224693,323118,177792,184902
gr666,350243,527625,307263,323434,363543,567761,305182,327761
kroA200,34543,53778,30189,31463,40760,64437,30565,30626
kroB200,35389,54057,31796,31688,36501,59085,31934,31566
lin318,49201,78200,44109,46002,51811,86211,44292,46284
nrw1379,68531,102924,59642,63162,70717,105017,59871,62443
p654,43027,65869,35926,35949,43210,83288,35880,36054
pcb1173,70115,111999,60885,64252,72332,125461,60918,64494
pcb442,58950,95045,52873,55808,62174,101715,53698,56442
pr1002,313745,500761,273632,282938,336561,555388,268831,283536
pr226,92552,166545,83277,87146,100708,205880,82900,88056
pr264,54491,90255,52084,54341,57362,116349,52002,53500
pr299,58279,94403,50126,53393,61940,114203,50647,53127
pr439,127230,211244,112493,116736,133389,237132,114963,117503
rand10_1007,105447,171335,94442,97530,108762,189100,95192,99118
rand11_2143,267596,428439,234942,245185,276614,449670,234895,245961
rand1_1320,146134,232804,128171,135785,151542,241880,128305,135795
rand12_1592,150999,242605,131475,137705,156224,247997,131258,137775
rand13_2236,350682,556811,302677,317947,361486,587474,300793,319465
rand14_1198,44722,72397,39556,41893,46656,78524,39280,41216
rand15_1723,243562,393288,213953,225780,250532,432434,215127,224184
rand16_1381,38933,60833,33626,35763,40417,64983,33865,35485
rand17_743,215637,339128,188984,194448,223269,359019,189885,196815
rand18_949,29486,47042,25883,27091,31658,50337,25809,26815
rand19_2056,106763,170610,93423,98370,111275,180252,93481,98467
rand20_2151,89809,143499,78160,82774,91718,153184,77951,82462
rand21_1697,157949,257949,139730,146982,162503,279340,140240,146900
rand22_1773,330133,536103,289086,303783,339358,535548,289011,305215
rand2_2189,140012,225900,122587,129254,143245,234975,121868,129054
rand23_2104,194667,312809,170826,181253,200711,329532,170112,179377
rand24_1892,216200,345455,186136,198919,229298,354043,186757,198871
rand25_1711,85373,137043,74770,78488,87886,139879,74911,78939
rand26_2097,152671,244646,131552,138374,159529,257764,131376,139972
rand27_786,114154,182651,102996,107715,118123,197031,102300,106582
rand28_831,202289,330170,180740,188776,206172,376491,180282,189008
rand29_722,188656,300409,171913,182275,200729,337720,172149,177787
rand30_1852,273220,442497,239075,253117,283695,464194,239009,250205
rand3_1046,276205,445047,245303,259610,285284,494219,245371,259691
rand31_1538,208380,334847,183485,192572,213611,379121,182163,193479
rand32_1527,189327,303326,164599,174103,196888,336410,165051,174477
rand33_1335,255702,409474,223154,234926,260961,448891,225988,237503
rand34_522,183645,295032,161787,173766,195067,315207,163611,172250
rand35_2058,169666,272698,147081,155403,178320,294984,148529,156610
rand36_730,197171,312276,172059,181834,214192,344459,172613,181762
rand37_2037,182511,291122,158098,167096,186599,310320,159585,169580
rand38_1260,135653,214557,119469,123685,140746,224968,119364,124596
rand39_820,158571,249298,137935,148140,165529,275474,137634,143837
rand40_2223,367899,595725,323023,342760,381279,634743,323186,341090
rand41_1158,148530,231997,129512,137678,151418,262955,129512,137617
rand4_2126,197435,319090,172209,181679,207068,329528,172734,182606
rand42_2238,365238,579525,319183,337433,378599,626897,319685,334664
rand43_1640,126461,202881,110461,116529,130593,214458,111542,116289
rand44_1000,199749,304763,169260,177850,215887,327290,169173,178545
rand45_1606,190630,303996,168528,175330,199070,329294,168668,178046
rand46_1930,135830,216838,118173,125869,139551,227944,118258,125130
rand47_2279,130792,209395,113965,118433,136255,223473,113915,119770
rand48_2131,63553,99533,55027,57252,68160,104048,54800,57608
rand49_857,190998,297159,165873,172346,207306,319721,163870,174273
rand50_1440,285731,453087,249356,262557,294722,473731,252127,264913
rand5_1705,105499,167558,91673,95716,108532,172188,92347,95868
rand51_873,179135,284487,159009,166603,185792,313604,158174,165909
rand52_1269,106577,172170,94049,98625,112025,178896,93343,99513
rand53_1942,104765,166166,90962,97679,110052,182424,91047,95486
rand54_1201,290134,463834,252691,267386,306818,478706,253410,264018
rand55_1643,287376,462346,251766,266161,303094,475459,252199,266928
rand56_2160,216518,345745,190445,197779,223000,359797,189785,198130
rand57_1349,214296,339472,185769,197941,223680,353276,185777,198501
rand6_1135,77264,121767,67991,71872,81639,130788,67699,72245
rand7_541,33699,53462,29952,30895,35933,58910,30213,31065
rand8_834,148713,236337,130627,135070,157380,261264,128328,135070
rand9_1728,350129,549335,305792,321425,359770,581359,302872,318686
rat575,7993,12109,7077,7577,8424,13296,7127,7622
rat783,10540,16402,9246,9862,11212,17665,9287,9868
rd400,18431,27294,15898,16717,19718,31140,15892,16436
rl1304,306195,602774,270610,276332,323008,644130,269050,281510
rl1323,312845,629314,280799,301463,333932,679762,285128,303371
rl1889,374845,733686,334342,346973,384987,810843,335183,359564
ts225,140486,255202,127961,139007,152862,310956,128227,128002
tsp225,4503,6851,4001,4174,4831,8021,3989,4290
u1060,277095,437808,239502,242522,301605,491112,237621,244580
u1432,186094,271458,163286,170529,193510,287171,162175,172331
u1817,66187,120892,59964,65006,72012,126529,60957,65537
u574,45439,72466,38959,40177,47841,76549,38899,40687
u724,50801,78893,43651,46382,53508,83089,44461,47020
vm1084,290802,490435,257291,262193,302150,583679,251754,261809
vm1748,404406,693568,352357,368853,424432,742079,355138,365256
