2,Benders,Benders (Kruskal)
a280,16231.685133,21420.692021
a280,28127.649628,23763.783812
a280,14852.346354,12550.269967
a280,19139.944757,14025.020036
ali535,169160.667338,236508.238404
ali535,233834.146069,318723.839987
ali535,256374.288754,335780.276986
ali535,192586.850888,145410.800053
att532,441106.158751,478697.838964
att532,451779.709141,470887.655519
att532,510918.708429,488988.453352
att532,630230.813516,478477.112658
d493,971896.265189,1136070.880757
d493,1042127.136736,1032273.592754
d493,1088886.294643,1117694.589272
d493,1142182.198632,1081791.942336
fl417,231902.848642,169605.729507
fl417,143523.526207,186928.487356
fl417,230161.557459,185330.551074
fl417,340203.815567,198884.190860
gil262,34829.168095,24583.358462
gil262,26155.788504,31964.408573
gil262,31556.530477,25411.980583
gil262,23846.085796,26969.785377
gr202,15394.480695,15139.472538
gr202,14995.460658,14935.700614
gr202,15293.544550,15285.487963
gr202,15165.987891,1025546.414168
gr229,32711.812470,29780.893531
gr229,31042.456614,31226.279437
gr229,33055.677572,33792.853029
gr229,32995.850442,31968.367385
gr431,212984.891272,228943.114985
gr431,265537.880524,1021628.973064
gr431,295637.364091,232919.486865
gr431,220652.093834,224322.798939
gr666,424853.561746,441052.054589
gr666,457806.005394,550291.139792
gr666,415911.828924,396275.952752
gr666,429331.699036,393233.937484
kroA200,15174.577198,16005.087457
kroA200,17217.070642,17461.457942
kroA200,19118.337708,15758.577720
kroA200,17405.562788,15160.387625
kroB200,6696.529966,7108.004147
kroB200,6960.921675,7561.389432
kroB200,7015.069279,7196.997067
kroB200,7643.621631,6747.370664
lin318,30190.066730,31090.330598
lin318,30152.016562,33719.841105
lin318,30094.808906,31161.969486
lin318,30677.663735,1021771.805063
p654,1322685.334784,1021065.539201
p654,1173176.187359,1184626.043903
p654,1025037.383914,1051771.416011
p654,1033206.599314,1023189.408379
pcb442,1054072.058853,1077210.530096
pcb442,1052771.285196,1104336.247334
pcb442,1060762.801618,1087461.301304
pcb442,1067707.992611,1098816.360438
pr226,40503.914908,28181.067851
pr226,40200.390026,27569.595500
pr226,37539.248289,35539.797756
pr226,56936.012975,76886.184102
pr264,69175.213879,455811.961679
pr264,72439.009121,71547.823791
pr264,74878.565005,82212.386662
pr264,75157.046226,90180.053972
pr299,87978.488329,86920.232562
pr299,80047.360940,1025319.069433
pr299,80516.872305,1021177.415532
pr299,84679.376274,85784.038141
pr439,381532.061195,378040.109487
pr439,345778.844043,347974.083126
pr439,344036.747389,374766.835148
pr439,351087.541452,324456.712914
rat575,395583.446285,557124.906561
rat575,541410.209479,1024931.536205
rat575,424985.091043,422359.190215
rat575,462672.873954,391769.810784
rd400,199295.693770,225642.587366
rd400,185398.748914,179295.367595
rd400,230648.990828,271762.303050
rd400,182856.549600,223685.959196
ts225,1557724.060905,1156644.198466
ts225,1178897.113472,1321543.476913
ts225,1704055.933805,1387800.210970
ts225,1330208.947695,1189766.075496
tsp225,12702.470358,10158.301100
tsp225,9009.627066,11221.846868
tsp225,10795.703038,8322.862856
tsp225,11260.774249,11265.689326
u574,209851.766557,234419.097388
u574,294559.195225,212577.097665
u574,219931.774364,237461.948393
u574,220265.127512,1104669.777108
rand7_541,356216.404984,1046628.036807
rand7_541,363980.713067,396489.056702
rand7_541,360435.888210,1021498.120556
rand7_541,328061.266265,325423.924908
