4,Benders,Benders (Kruskal),Callback,Callback + 2OPT
a280,16231.685133,21420.692021,3487.780360,3155.417419
a280,28127.649628,23763.783812,3628.578056,1728.599779
a280,14852.346354,12550.269967,3316.544147,2071.884518
a280,19139.944757,14025.020036,2456.307528,3543.031745
ali535,169160.667338,236508.238404,51635.850163,46131.921836
ali535,233834.146069,318723.839987,69225.544822,39041.857560
ali535,256374.288754,335780.276986,100750.552326,80913.549594
ali535,192586.850888,145410.800053,59308.477356,31440.341343
att532,441106.158751,478697.838964,133631.155255,167822.878633
att532,451779.709141,470887.655519,197891.273261,80015.100042
att532,510918.708429,488988.453352,148006.766919,50126.194301
att532,630230.813516,478477.112658,135562.570237,82702.728823
d493,971896.265189,1136070.880757,50294.413901,54470.587922
d493,1042127.136736,1032273.592754,51153.270837,44861.229630
d493,1088886.294643,1117694.589272,44446.089415,35586.723086
d493,1142182.198632,1081791.942336,45702.101704,67642.100650
fl417,231902.848642,169605.729507,84746.772673,79753.812715
fl417,143523.526207,186928.487356,69236.523266,47765.196639
fl417,230161.557459,185330.551074,68384.710344,211197.276932
fl417,340203.815567,198884.190860,83154.552084,177480.415094
gil262,34829.168095,24583.358462,7315.149127,6316.787258
gil262,26155.788504,31964.408573,8279.352533,6058.607060
gil262,31556.530477,25411.980583,8389.647493,6602.210693
gil262,23846.085796,26969.785377,7436.007542,8226.346123
gr202,15394.480695,15139.472538,2277.178005,2276.937177
gr202,14995.460658,14935.700614,1247.483098,2494.470488
gr202,15293.544550,15285.487963,1896.455347,1771.830304
gr202,15165.987891,1025546.414168,1397.421988,2118.932689
gr229,32711.812470,29780.893531,10660.654316,7083.889129
gr229,31042.456614,31226.279437,6756.957452,6699.627584
gr229,33055.677572,33792.853029,7160.120028,7675.236942
gr229,32995.850442,31968.367385,6013.223680,6133.442558
gr431,212984.891272,228943.114985,36928.559531,56196.911441
gr431,265537.880524,1021628.973064,43736.264767,46470.506644
gr431,295637.364091,232919.486865,54402.629119,40960.542638
gr431,220652.093834,224322.798939,57560.854032,39930.089909
gr666,424853.561746,441052.054589,173834.412698,105620.123808
gr666,457806.005394,550291.139792,111569.327506,205956.347857
gr666,415911.828924,396275.952752,151448.893530,66652.582963
gr666,429331.699036,393233.937484,141558.620970,116792.114501
kroA200,15174.577198,16005.087457,6074.208364,4436.748789
kroA200,17217.070642,17461.457942,4946.220673,2682.987531
kroA200,19118.337708,15758.577720,4864.414551,4002.440738
kroA200,17405.562788,15160.387625,5410.812512,3313.157564
kroB200,6696.529966,7108.004147,3414.700582,2646.575635
kroB200,6960.921675,7561.389432,2213.243755,1603.454625
kroB200,7015.069279,7196.997067,3514.242582,2746.091288
kroB200,7643.621631,6747.370664,3462.697941,2736.252330
lin318,30190.066730,31090.330598,13364.579851,11458.344213
lin318,30152.016562,33719.841105,10779.588194,11959.560807
