8,gen00,gen01,gen10,gen11,gen20,gen21,gen30,gen31
ali535,214519,211501,214838,216704,216128,215923,215402,212389
att532,29669,29175,29676,29561,29382,29416,29760,29281
d1291,54348,54604,55404,54477,53802,56197,54572,54983
d1655,66491,67549,67317,67001,67693,68317,67369,68193
d2103,85781,86537,87143,87535,89187,91445,84717,88308
d493,36911,37339,36862,37196,37123,37065,37478,37096
d657,52699,52979,52472,53035,52615,52872,52732,52216
fl1400,20572,20689,20671,20584,20821,20753,20750,20732
fl1577,23332,23778,23542,24211,23448,23848,23853,23702
fl3795,30951,30359,30804,31048,32143,36903,30973,34487
fl417,11995,11985,12068,12041,11964,12050,12036,12093
fnl4461,216287,206656,227251,225425,226170,226070,203375,227163
gr431,180922,182955,185010,183278,183725,183508,181784,183314
gr666,323078,319265,324687,318071,319855,319519,320911,319554
nrw1379,61952,62336,62014,62274,62078,62347,62148,62540
p654,35154,35039,35335,35338,35539,35411,35305,35215
pcb1173,61878,61608,61145,62025,61385,62771,61875,62067
pcb3038,151797,152487,153140,153151,152900,172884,152575,169221
pcb442,53473,54053,54027,53750,54611,54380,54288,54368
pr1002,281225,277365,282315,280336,278465,281122,277054,278675
pr2392,421152,413831,422564,429491,415305,423248,421156,421229
pr439,110238,111503,113034,111980,111932,111442,111562,112207
rand10_4380,413921,416609,412826,428693,428871,431092,413508,420870
rand11_935,51971,52028,51794,51656,51841,52189,51873,52333
rand12_4571,391063,393270,393369,400525,409140,404114,391824,402906
rand13_2273,359263,359245,358254,362399,360456,362454,359234,355970
rand14_4568,523587,521231,522703,537681,536759,552304,520702,532580
rand1_4723,82589,85554,83311,85108,82573,85558,83602,85673
rand15_1164,49381,49555,48641,49509,49200,49717,49351,49596
rand16_4398,85839,86125,86214,89032,88372,89045,85888,89539
rand17_3554,54200,54312,54219,54499,54701,56488,54081,54190
rand18_4261,79748,79542,80126,79652,83334,82703,79344,80999
rand19_1428,203052,203241,202167,203534,202332,203580,204120,204007
rand20_1015,149855,149647,149482,149237,148818,149212,149169,148455
rand21_659,156380,156945,157803,158432,157173,158831,157126,158723
rand22_400,153477,154256,154690,154566,153555,155769,154932,153888
rand23_1878,102481,102085,102025,101933,102047,102702,102459,101994
rand2_3608,192266,193218,194577,200422,196072,200969,193925,194184
rand24_4476,231896,228473,228869,236179,236686,235041,228817,234343
rand25_4615,526329,522692,542723,543571,550420,546097,530276,539742
rand26_2676,231761,232023,230559,233858,230013,234393,230964,231127
rand27_3851,477065,476817,476508,472068,476954,500309,475674,492877
rand28_806,111385,111068,111131,111573,111455,111464,111601,111335
rand29_3862,322421,324185,320902,325873,323567,334983,320652,322053
rand30_1330,233085,234494,233489,234528,233704,233707,234194,234685
rand31_4848,300843,299364,310330,308124,299845,310589,301017,309053
rand3_2120,291274,291659,291404,291188,292084,292917,292352,290357
rand32_2993,96626,95402,96786,96407,95363,102618,99293,95672
rand33_4784,287811,296346,287115,290403,298841,299823,287370,293060
rand34_4223,242150,241189,241640,248007,252064,248772,241511,247175
rand35_4489,248260,249874,249502,249076,258519,260874,249492,256314
rand36_3805,231499,231144,232019,231134,228054,240638,231786,230336
rand37_2279,88067,88367,88086,89228,88131,91108,88380,88789
rand38_455,23430,23321,23462,23246,23640,23529,23369,23389
rand39_1228,69885,69968,69062,70087,68341,69985,69827,69637
rand40_2406,348592,348361,349582,347079,346709,349774,349226,345870
rand41_2688,311670,311347,313194,313244,310121,314561,310289,313354
rand42_3503,374565,372572,373276,375166,372471,389915,372176,372411
rand4_2838,387334,387431,387385,391820,386764,392761,387755,388969
rand43_1626,220597,220354,220427,219419,218774,221419,219652,219265
rand44_2356,47756,48096,48028,47946,47730,47780,48095,48664
rand45_4516,117487,118153,117923,117519,121814,123639,118555,120791
rand46_4524,494669,493065,492717,492790,489836,510240,498966,508628
rand47_2859,202677,201487,201132,200428,201316,203829,201826,205990
rand48_2464,221419,223073,220195,225250,221194,222199,221572,223884
rand49_758,143631,145212,143084,143009,143035,143082,143438,142957
rand50_4319,356163,354785,356533,364494,353922,369610,355810,354278
rand51_1632,82626,83017,83131,82917,82879,83235,82462,82409
rand52_3856,389431,391138,390951,400053,390485,401345,388005,389784
